Øvelsesutvalg for barn 6-8 år;6 år;7 år;8 år 
40m stående start;x;x;x
60m;x;x;x
400 meter (indre bane);x;x;x
Stafett 40-600m;x;x;x
Kappgang 400-800m;x;x;x
60m hekk (valgfri høyde opp til 60cm, 6,5m);x;x;x
Hinder (20 cm) med vanngrav (200-400m);x;x;x
Lengde med satssone 50cm før satslinjen*;x;x;x
Lengde uten tilløp;x;x;x
Høyde;x;x;x
Høyde uten tilløp;x;x;x
Stav;x;x;x
Liten ball 150g;x;x;x
Slengball 1kg;x;x;x
Kule 2kg;x;x;x
Trekamp (ett løp, ett hopp og ett kast);x;x;x
;;;
*Ca 15 meter settes av til tilløp før satslinjen;;;
;;;
;;;
