Øvelsesutvalg for gutter;6-8 (rekrutt);9;10;11;12;13;14;15;16;17;Junior 18-19 (U20);Junior 20-22 (U23);Senior;
40m;X;X;X;X;x;x;x;x;x;x;x;x;x;
60m;X;X;X;X;X;X;X;X;X;X;X;X;x;
80m;;X;X;X;X;X;X;X;X;X;X;x;x;
100m;;;;;X;X;X;X;X;X;X;X;X;
150m;;;;;X;X;X;X;X;X;X;X;X;
200m;;;;X;X;X;X;X;X;X;X;X;X;
300m;;;;;X;X;X;X;X;X;X;X;X;
400m (fra strek);X;X;X;X;X;X;;;;;;;;
400m (delte baner);;;;;;;X;X;X;X;X;X;X;
600m;;;X;X;X;X;X;X;X;X;X;X;X;
800m;;;;;;X;X;X;X;X;X;X;X;
1000m;;;;;;X;X;X;X;X;X;X;X;
1500m;;;;;X;X;X;X;X;X;X;X;X;
2000m;;;;;;;X;X;X;X;X;X;X;
3000m;;;;;;;;;X;X;X;X;X;
5000m;;;;;;;;;;X;X;X;X;
10000m;;;;;;;;;;;X;X;X;
200-400m hinder (20cm);X;X;X;;;;;;;;;;;
800m hinder (50cm);;;;X;X;;;;;;;;;
1500m hinder (76,2);;;;;;X;X;X;X;;;;;
2000m hinder (83,8);;;;;;;;;X;X;;;;
2000m hinder (91,4);;;;;;;;;;;X;X;X;
3000m hinder (91,4);;;;;;;;;;;X;X;X;
Kappgang 400-800m;X;X;;;;;;;;;;;;
Kappgang 600-1000m;;;X;;;;;;;;;;;
Kappgang 1000m;;;;X;X;X;X;X;X;X;X;X;X;
Kappgang 1500m;;;;X;X;X;X;X;X;X;X;X;X;
Kappgang 2000m;;;;;;X;X;X;X;X;X;X;X;
Kappgang 3000m;;;;;;;X;X;X;X;X;X;X;
Kappgang 5000m;;;;;;;;X;X;X;X;X;X;
Kappgang 10000m;;;;;;;;;X;X;X;X;X;
60m hk;opptil 60;68;68;68;76.2;76.2;;;;;;;;
60m hk (68)*;;;X;X;;;;;;;;;;
60m hk (76,2)*;;;;;X;X;;;;;;;;
80m hk;;;;;;;83.8;;;;;;;
80m hk (84)*;;;;;;;X;;;;;;;
100m hk;;;;;;;;83.8;91.4;;;;;
100m hk (84)*;;;;;;;;X;;;;;;
100m hk (91,4)*;;;;;;;;;X;;;;;
110m hk;;;;;;;;;;91.4;100;106.7;106.7;
110m hk (91,4)*;;;;;;;;;x;X;;;;
110m hk (100)*;;;;;;;;;;;X;;;
110m hk (106,7)*;;;;;;;;;;;;X;X;
200m hk;;;;68;68;68;76.2;76.2;76.2;76.2;76.2;76.2;76.2;
200m hk (68)*;;;;X;X;X;;;;;;;;Sjekker denne
200m hk (76,2)*;;;;;;;X;X;X;X;X;X;X;
300m hk;;;;;;;76.2;76.2;83.8;83.8;91.4;91.4;91.4;
300m hk (76,2)*;;;;;;;X;X;83.8;83.8;;;;
300m hk (84)*;;;;;;;;;83.8;83.8;;;;
300m hk (91,4)*;;;;;;;;;83.8;83.8;X;x;x;
400m hk;;;;;;;;;83.8;83.8;91.4;91.4;91.4;
400m hk (84)*;;;;;;;;;x;X;X;X;X;
400m hk (91,4)*;;;;;;;;;;;X;X;X;
Høyde;X;X;X;X;X;X;X;X;X;X;X;X;X;
Høyde uten tilløp;X;X;X;X;X;X;X;X;X;X;X;X;X;
Lengde ;Xs;Xs;Xs;Xs;Xs;Xs;X;X;X;X;X;X;X;
Lengde uten tilløp;X;X;X;X;X;X;X;X;X;X;X;X;X;
Stav;X;X;X;X;X;X;X;X;X;X;X;X;X;
Tresteg;;Xs;Xs;Xs;Xs;Xs;X;X;X;X;X;X;X;
Kule;2;2;2;2;3;3;4;4;5;5;6;7.26;7.26;
Kule 2kg;;;X;X;;;;;;;;;;
Kule 3kg;;;;;X;X;;;;;;;;
Kule 4kg;;;;;;;X;X;;;;;;
Kule 5kg;;;;;;;;;X;X;;;;
Kule 6kg;;;;;;;;;;;X;;;
Kule 7,26kg;;;;;;;;;;;;X;X;
Diskos;;0.6;0,6;0,6;0,75;0,75;1;1;1,5;1,5;1,75;2;2;
Diskos 0,6kg;;;X;X;;;;;;;;;;
Diskos 0,75kg;;;;;X;X;;;;;;;;
Diskos 1kg;;;;;;;X;X;;;;;;
Diskos 1,5kg;;;;;;;;;X;X;;;;
Diskos 1,75kg;;;;;;;;;;;X;;;
Diskos 2kg;;;;;;;;;;;;X;X;
Slegge;;2/110;2/110;2/110;2/110;3/119,5;4/119,5;4/119,5;5/120;5/120;6/121,5;7,26/121,5;7,26/121,5;
Slegge 2kg/110cm;;;X;X;X;;;;;;;;;
Slegge 3kg/119,5cm;;;;;;X;;;;;;;;
Slegge 4kg/119,5cm;;;;;;;X;X;;;;;;
Slegge 5kg/120cm;;;;;;;;;X;X;;;;
Slegge 6kg/121,5cm;;;;;;;;;;;X;;;
Slegge 7,26kg/121,5cm;;;;;;;;;;;;X;X;
Spyd;;400g;400g;400g;400g;400g;600g;600g;700g;700g;800g;800g;800g;
Spyd 400g;;;X;X;X;X;;;;;;;;
Spyd 600g;;;;;;;X;X;;;;;;
Spyd 700g;;;;;;;;;X;X;;;;
Spyd 800g;;;;;;;;;;;X;X;X;
Liten ball 150g;X;X;X;X;X;X;X;x;x;x;x;x;x;
Slengball 1kg (kort reim);X;X;X;X;X;x;x;x;x;x;x;x;x;
Mangekamp;X;X;X;X;X;X;X;X;X;X;X;X;X;Se eget skjema for øvelser
s=satssone 50cm før satslinjen;;;;;;;;;;;;;;
*Se målskjema for hekk på eget ark;;;;;;;;;;;;;;
