Gutter;;;;;;Øvelse;Jenter;;;;;
Klasse;Antall;Siste;Første;Avstand;Høyde;;Høyde;Avstand;Første ;Siste;Antall;Klasse
Rekrutt 6-8;;;;6.5;Valgfri;60mH;Valgfri;6.5;;;;Rekrutt 6-8
Rekrutt 9;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;Rekrutt 9
10;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;10
11;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;11
12;6;14;11;7;76.2;60mH;68;7;11;14;6;12
13;6;11;11.5;7.5;76.2;60mH;68;7.5;11.5;11;6;13
;;;;;;60mH;76.2;7.5;11.5;11;6;14
14;8;12;12;8;84;80mH;76.2;8;12;12;8;15
;;;;;;80mH;76.2;8;12;12;8;16
15;10;10.5;13;8.5;84;100mH;76.2;8.5;13;10.5;10;17
16;10;10.5;13;8.5;91.4;100mH;84;8.5;13;10.5;10;18-19
;;;;;;100mH;84;8.5;13;10.5;10;20-22
;;;;;;100mH;84;8.5;13;10.5;10;Senior 
17;10;14.02;13.72;9.14;91.4;110mH;;;;;;
18-19;10;14.02;13.72;9.14;100;110mH;;;;;;
20-22;10;14.02;13.72;9.14;106.7;110mH;;;;;;
Senior;10;14.02;13.72;9.14;106.7;110mH;;;;;;
11;10;17.1;18.29;18.29;68;200mH;68;19;16;13;10;11
12;10;17.1;18.29;18.29;68;200mH;68;19;16;13;10;12
13;10;17.1;18.29;18.29;68;200mH;68;19;16;13;10;13
14;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;14
15;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;15
16;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;16
17;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;17
18-19;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;18-19
20-22;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;20-22
Senior;10;17.1;18.29;18.29;76.2;200mH;76.2;19;16;13;10;Senior
14;7;40;50;35;76.2;300mH;76.2;35;50;40;7;14
15;7;40;50;35;76.2;300mH;76.2;35;50;40;7;15
16;7;40;50;35;84;300mH;76.2;35;50;40;7;16
17;7;40;50;35;84;300mH;76.2;35;50;40;7;17
18-19;7;40;50;35;91.4;300mH;76.2;35;50;40;7;18-19
18-19;10;40;45;35;91.4;400mH;76.2;35;45;40;10;18-19
20-22;10;40;45;35;91.4;400mH;76.2;35;45;40;10;20-22
Senior;10;40;45;35;91.4;400mH;76.2;35;45;40;10;Senior
;;;;;;;;;;;;
