Stafett;6-8;9-10;11;12;13;14;15;16;17;18;19;MS
4x60m;X;X;X;X;X;X;X;X;X;X;X;X
4x100m;;;;;X;X;X;X;X;X;X;X
4x200m;;;;;X;X;X;X;X;X;X;X
4x400m;X;X;X;X;X;X;X;X;X;X;X;X
3x600m;X;X;X;X;X;X;X;X;X;X;X;X
4x600m;;;;;;;;;;;;
3x800m;;;;;X;X;X;X;X;X;X;X
4x800m;;;;;;;;;;;;
3x1000m;;;X;X;X;X;X;X;X;X;X;X
4x1000m;;;;;;;;;;;;
3x1500m;;;;;X;X;X;X;X;X;X;X
4x1500m;;;;;;;;;;;;
Hurricane-stafett 1000m;;X;X;X;X;X;X;X;X;X;X;X
Hurricane-stafett 2000m;;;;;;;X;X;X;x;x;x
Hurricane-stafett 3000m;;;;;;;;;;X;X;X
8 x 200m;;;X;;X;;X;X;X;X;X;X
Donaldstafett;X;X;X;;X;;X;X;X;X;X;X
;;;;;;;;;;;;
*Hurricane-stafett går ut på at deltakerne kan veksle hvor som helst på banen, når som helst underveis i stafetten. Laget består av 3 deltakere;;;;;;;;;;;;
Det er lov med tilpasninger på stafett så lenge distansen på etappen er i henhold til øvelsesutvalget;;;;;;;;;;;;
